horizon,fold,partition,feature,n,missing_n,missing_rate
1,2,raw_train,recent_4_slope,16924,3,0.0001772630583786339
1,2,raw_train,peak_count_7d,16924,671,0.03964783739068778
1,2,raw_train,since_last_peak_intervals,16924,0,0.0
1,2,raw_train,target_hour,16924,0,0.0
1,2,raw_train,target_quarter,16924,0,0.0
1,2,raw_train,target_weekday,16924,0,0.0
1,2,raw_train,target_month,16924,0,0.0
1,2,raw_train,is_offday,16924,0,0.0
1,2,raw_train,pre_holiday,16924,0,0.0
1,2,raw_train,post_holiday,16924,0,0.0
1,2,raw_train,bridge_day,16924,0,0.0
1,2,raw_train,labor_day,16924,0,0.0
1,2,raw_train,production_completed_1h,16924,3,0.0001772630583786339
1,2,raw_train,production_completed_2h,16924,7,0.00041361380288347906
1,2,raw_train,production_completed_3h,16924,11,0.0006499645473883243
1,2,raw_train,production_previous_day_total,16924,95,0.005613330181990073
1,2,raw_train,production_same_slot_7d_mean,16924,675,0.03988418813519263
1,2,raw_train,cbl_mid_6_10,16924,1439,0.08502718033561805
