analysis,horizon,fold,day_type,slot,restart,n,peak_n,cbl_mae,lgbm_mae,error_diff_lgbm_minus_cbl
A4,16,1,offday,14,False,9,0,43.916666666666664,12.036428113988626,-31.88023855267804
A4,16,1,offday,15,False,9,0,42.19444444444444,11.721456870829561,-30.472987573614887
A4,16,1,offday,16,False,9,0,45.02777777777778,8.532475076457377,-36.495302701320405
A4,16,1,offday,17,False,9,0,47.77777777777778,8.252345928186937,-39.52543184959084
A4,16,1,offday,18,False,9,0,49.083333333333336,9.133391195358627,-39.94994213797471
A4,16,1,offday,19,False,9,0,48.19444444444444,9.129589749968604,-39.064854694475834
A4,16,1,offday,20,False,9,0,48.5,10.028689124753278,-38.47131087524672
A4,16,1,offday,21,False,9,0,35.833333333333336,7.610672758345812,-28.222660574987522
A4,16,1,offday,22,False,9,0,30.444444444444443,7.483669487965361,-22.96077495647908
A4,16,1,offday,23,False,9,0,41.22222222222222,7.056800430169933,-34.165421792052285
A4,16,1,offday,24,False,9,0,45.75,6.679768948781684,-39.070231051218315
A4,16,1,offday,25,False,9,0,47.111111111111114,7.8830826012850865,-39.228028509826025
A4,16,1,offday,26,False,9,0,47.52777777777778,8.78745870373692,-38.740319074040855
A4,16,1,offday,27,False,9,0,47.72222222222222,8.447655084275569,-39.274567137946654
A4,16,1,offday,28,False,9,0,43.138888888888886,7.783572080673443,-35.35531680821545
A4,16,1,offday,29,False,9,0,37.583333333333336,8.12281310654221,-29.460520226791118
A4,16,1,offday,30,False,9,0,33.55555555555556,7.881854351367137,-25.67370120418842
A4,16,1,offday,31,False,9,0,17.36111111111111,8.194924745166503,-9.166186365944608
A4,16,1,offday,32,False,9,0,4.083333333333333,13.002733281236033,8.919399947902699
A4,16,1,offday,33,False,9,0,1.8333333333333333,14.412533439041766,12.579200105708432
A4,16,1,offday,34,False,9,0,1.6388888888888888,11.25869713592771,9.61980824703882
A4,16,1,offday,35,False,9,0,1.3333333333333333,11.479730507510405,10.146397174177073
A4,16,1,offday,36,False,8,0,0.625,10.802898454877191,10.177898454877191
A4,16,1,offday,37,False,8,0,1.0625,11.116807601375088,10.054307601375088
A4,16,1,offday,38,False,8,0,0.9375,13.13036699918966,12.19286699918966
A4,16,1,offday,39,False,8,0,1.15625,12.311630172275004,11.155380172275004
A4,16,1,offday,40,False,8,0,1.78125,10.02971924693337,8.24846924693337
A4,16,1,offday,41,False,8,0,1.46875,20.540563686067177,19.071813686067177
A4,16,1,offday,42,False,8,0,0.96875,10.606891544906805,9.638141544906805
A4,16,1,offday,43,False,8,0,0.875,10.080193767298347,9.205193767298347
A4,16,1,offday,44,False,8,0,1.84375,9.240053357873677,7.396303357873677
A4,16,1,offday,45,False,8,0,2.0,8.553750958943123,6.553750958943123
A4,16,1,offday,46,False,8,0,2.0625,10.57165957420321,8.50915957420321
A4,16,1,offday,47,False,8,0,3.25,10.714630482573448,7.4646304825734475
A4,16,1,offday,48,False,8,0,2.125,13.15470833452381,11.02970833452381
A4,16,1,offday,49,False,8,0,1.21875,9.152475403377528,7.933725403377528
A4,16,1,offday,50,False,8,0,1.03125,6.299849033082378,5.268599033082378
A4,16,1,offday,51,False,8,0,0.75,5.858368210391049,5.108368210391049
A4,16,1,offday,52,False,8,0,1.25,6.437570567280218,5.187570567280218
A4,16,1,offday,53,False,8,0,1.6875,12.453808820580806,10.766308820580806
A4,16,1,offday,54,False,8,0,1.0,13.880103928759972,12.880103928759972
A4,16,1,offday,55,False,8,0,0.75,10.858837620371915,10.108837620371915
A4,16,1,offday,56,False,8,0,0.625,7.526721461327506,6.901721461327506
